person_id;person_trip_id;leg_index;access_stop_id;egress_stop_id;transit_line_id;transit_route_id;access_area_id;egress_area_id;transit_mode
10470076;0;3;IDFM:monomodalStopPlace:47900.link:706780;IDFM:monomodalStopPlace:43152.link:515751;IDFM:C01742;IDFM:TN:SNCF:34a394a0-64fc-408a-9720-ea13f4b6a7f1;IDFM:71718;IDFM:68123;rail
8480246;1;8;IDFM:monomodalStopPlace:58718.link:446989;IDFM:monomodalStopPlace:43127.link:594190;IDFM:C01729;IDFM:TN:SNCF:a5191645-a2be-4d87-93ba-0c3ae76f6b69;IDFM:73688;IDFM:73266;rail
4650334;5;16;IDFM:monomodalStopPlace:45873.link:300989;IDFM:monomodalStopPlace:43191.link:139257;IDFM:C01742;IDFM:TN:SNCF:d8871a1a-5b40-4292-a13a-b8a3258b4015;IDFM:478926;IDFM:64918;rail
2731384;1;10;IDFM:monomodalStopPlace:58718.link:446989;IDFM:monomodalStopPlace:58572.link:489609;IDFM:C01729;IDFM:TN:SNCF:a05bce3f-5cbf-4e2a-bc73-ffe39649de31;IDFM:73688;IDFM:478733;rail
2743750;1;12;IDFM:monomodalStopPlace:47909.link:594066;IDFM:monomodalStopPlace:45804.link:694539;IDFM:C01731;IDFM:TN:SNCF:02a40258-3a2c-4308-9cfa-06867be40a11;IDFM:61926;IDFM:61826;rail
837884;1;6;IDFM:monomodalStopPlace:44559.link:513214;IDFM:monomodalStopPlace:45102.link:150653;IDFM:C01742;IDFM:TN:SNCF:eeac3733-97d9-46c1-ac62-8874983df776;IDFM:66696;IDFM:474151;rail
8300995;1;6;IDFM:monomodalStopPlace:470195.link:697840;IDFM:monomodalStopPlace:45102.link:150652;IDFM:C01742;IDFM:TN:SNCF:bedd3d29-6549-4b05-b5ff-205f4e390ae2;IDFM:73626;IDFM:474151;rail
7969255;2;13;IDFM:monomodalStopPlace:43207.link:36169;IDFM:monomodalStopPlace:45102.link:150652;IDFM:C01742;IDFM:TN:SNCF:bedd3d29-6549-4b05-b5ff-205f4e390ae2;IDFM:68129;IDFM:474151;rail
8157861;1;2;IDFM:40113.link:266659;IDFM:39021.link:579773;IDFM:C00197;IDFM:Transdev_Nord_Seine_Saint-Denis:181470-C00197-19847796;IDFM:73461;IDFM:72646;bus
8700242;1;6;IDFM:463240.link:pt_IDFM:463240;IDFM:22107.link:pt_IDFM:22107;IDFM:C01372;IDFM:RATP:174679-C01372-COU_RATP_02JOCAMELIA4_2024_-228784835_Nat215Daup04-18;IDFM:73671;IDFM:71961;subway
1415942;1;2;IDFM:463286.link:pt_IDFM:463286;IDFM:462946.link:pt_IDFM:462946;IDFM:C01373;IDFM:RATP:174680-C01373-COU_RATP_03JOBOTTICELLI2_2024_-1830129975_Gall11Leva02-21;IDFM:71787;IDFM:71311;subway
786173;2;11;IDFM:21951.link:pt_IDFM:21951;IDFM:463061.link:pt_IDFM:463061;IDFM:C01381;IDFM:RATP:178020-C01381-COU_RATP_5120281_3166989_284;IDFM:71885;IDFM:415852;subway
1684568;1;8;IDFM:22218.link:pt_IDFM:22218;IDFM:22129.link:pt_IDFM:22129;IDFM:C01383;IDFM:RATP:178016-C01383-COU_RATP_5120308_2467827_205;IDFM:71370;IDFM:71435;subway
7404386;3;14;IDFM:41993.link:340504;IDFM:26656.link:18793;IDFM:C01237;IDFM:RATP:152174-C01237-COU_RATP_5109530_2731662_23;IDFM:72383;IDFM:72251;bus
5422747;2;7;IDFM:462972.link:pt_IDFM:462972;IDFM:21955.link:pt_IDFM:21955;IDFM:C01384;IDFM:RATP:181065-C01384-COU_RATP_14JOBEKHTI01_2025_1317761393_Or1416Pl1413-14;IDFM:71370;IDFM:71572;subway
