agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone,agency_email,agency_fare_url,ticketing_deep_link_id
IDFM:1085,Aérobus,https://www.iledefrance-mobilites.fr,Europe/Paris,,,,https://applidium.page.link/default,ticketing_deep_link:1
IDFM:1086,Val Parisis,https://www.iledefrance-mobilites.fr,Europe/Paris,,,,https://applidium.page.link/default,ticketing_deep_link:1
IDFM:Operator_1004,Keolis Ouest Val-de-Marne,https://www.iledefrance-mobilites.fr,Europe/Paris,,,,https://applidium.page.link/default,ticketing_deep_link:1
IDFM:Operator_1042,STRETTO,https://www.iledefrance-mobilites.fr,Europe/Paris,,,,https://applidium.page.link/default,ticketing_deep_link:1
IDFM:Operator_100,RATP,https://www.iledefrance-mobilites.fr,Europe/Paris,,,,https://applidium.page.link/default,ticketing_deep_link:1
IDFM:Operator_039,SAVAC,https://www.iledefrance-mobilites.fr,Europe/Paris,,,,https://applidium.page.link/default,ticketing_deep_link:1
IDFM:Operator_111,Mobicité,https://www.iledefrance-mobilites.fr,Europe/Paris,,,,https://applidium.page.link/default,ticketing_deep_link:1
IDFM:Operator_116,Keolis Mobilité Roissy,https://www.iledefrance-mobilites.fr,Europe/Paris,,,,https://applidium.page.link/default,ticketing_deep_link:1
IDFM:Operator_334,Autocars Dominique,https://www.iledefrance-mobilites.fr,Europe/Paris,,,,https://applidium.page.link/default,ticketing_deep_link:1
IDFM:Operator_1041,Francilité Val Parisis,https://www.iledefrance-mobilites.fr,Europe/Paris,,,,https://applidium.page.link/default,ticketing_deep_link:1
IDFM:Operator_231,Magical Shuttle,https://www.iledefrance-mobilites.fr,Europe/Paris,,,,https://applidium.page.link/default,ticketing_deep_link:1
IDFM:Operator_1044,Paris Seine Mobilités,https://www.iledefrance-mobilites.fr,Europe/Paris,,,,https://applidium.page.link/default,ticketing_deep_link:1
IDFM:Operator_043,ADP,https://www.iledefrance-mobilites.fr,Europe/Paris,,,,https://applidium.page.link/default,ticketing_deep_link:1
IDFM:Operator_233,Autobus du Fort,https://www.iledefrance-mobilites.fr,Europe/Paris,,,,https://applidium.page.link/default,ticketing_deep_link:1
IDFM:Operator_1028,Keolis Roissy Pays de France Ouest,https://www.iledefrance-mobilites.fr,Europe/Paris,,,,https://applidium.page.link/default,ticketing_deep_link:1
IDFM:Operator_1011,RD Mantois,https://www.iledefrance-mobilites.fr,Europe/Paris,,,,https://applidium.page.link/default,ticketing_deep_link:1
IDFM:Operator_1015,Keolis Val d'Yerres Val de Seine,https://www.iledefrance-mobilites.fr,Europe/Paris,,,,https://applidium.page.link/default,ticketing_deep_link:1
IDFM:1046,Transilien,https://www.iledefrance-mobilites.fr,Europe/Paris,,,,https://applidium.page.link/default,ticketing_deep_link:1
IDFM:93,TER,https://www.iledefrance-mobilites.fr,Europe/Paris,,,,https://applidium.page.link/default,ticketing_deep_link:1
IDFM:71,RER,https://www.iledefrance-mobilites.fr,Europe/Paris,,,,https://applidium.page.link/default,ticketing_deep_link:1
